Slide,CTA_ID,CTA_ROI,CTA_segment,WTA_ID,WTA_ROI,WTA_segment
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A02,1,PanCK,DSP-1001660004761-A02,1,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A03,1,Syto13,DSP-1001660004761-A03,1,Syto13
C01-LUL_SARSCoV2PROT,,,,DSP-1001660004761-A04,2,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A04,2,Syto13,DSP-1001660004761-A05,2,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A05,3,PanCK,DSP-1001660004761-A06,3,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A06,3,Syto13,DSP-1001660004761-A07,3,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A07,4,PanCK,DSP-1001660004761-A08,4,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A08,4,Syto13,DSP-1001660004761-A09,4,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A09,5,PanCK,DSP-1001660004761-A10,5,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A10,5,Syto13,DSP-1001660004761-A11,5,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A11,6,PanCK,DSP-1001660004761-A12,6,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-A12,6,Syto13,DSP-1001660004761-B01,6,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B01,7,PanCK,DSP-1001660004761-B02,7,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B02,7,Syto13,DSP-1001660004761-B03,7,Syto13
,,,,,,
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B03,8,Syto13,DSP-1001660004761-B04,8,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B04,9,PanCK,DSP-1001660004761-B05,9,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B05,9,Syto13,DSP-1001660004761-B06,9,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B06,10,PanCK,DSP-1001660004761-B07,10,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B07,10,Syto13,DSP-1001660004761-B08,10,Syto13
,,,,,,
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B08,11,Syto13,DSP-1001660004761-B09,11,Syto13
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B09,12,PanCK,DSP-1001660004761-B10,12,PanCK
C01-LUL_SARSCoV2PROT,DSP-1001660004759-B10,12,Syto13,DSP-1001660004761-B11,12,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A02,1,PanCK,DSP-1001250001621-A02,1,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A03,1,Syto13,DSP-1001250001621-A03,1,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A04,2,PanCK,DSP-1001250001621-A04,2,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A05,2,Syto13,DSP-1001250001621-A05,2,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A06,3,PanCK,DSP-1001250001621-A06,3,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A07,3,Syto13,DSP-1001250001621-A07,3,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A08,4,PanCK,DSP-1001250001621-A08,4,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A09,4,Syto13,DSP-1001250001621-A09,4,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A10,5,PanCK,DSP-1001250001621-A10,5,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A11,5,Syto13,DSP-1001250001621-A11,5,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-A12,6,PanCK,DSP-1001250001621-A12,6,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B01,6,Syto13,DSP-1001250001621-B01,6,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B02,7,PanCK,DSP-1001250001621-B02,7,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B03,7,Syto13,DSP-1001250001621-B03,7,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B04,8,PanCK,DSP-1001250001621-B04,8,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B05,8,Syto13,DSP-1001250001621-B05,8,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B06,9,Syto13,DSP-1001250001621-B12,13,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B07,10,PanCK,DSP-1001250001621-B06,10,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B08,10,Syto13,DSP-1001250001621-B07,10,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B09,11,PanCK,DSP-1001250001621-B08,11,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B10,11,Syto13,DSP-1001250001621-B09,11,Syto13
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B11,12,PanCK,DSP-1001250001621-B10,12,PanCK
C02-LUL_SARSCoV2PROT,DSP-1001250001622-B12,12,Syto13,DSP-1001250001621-B11,12,Syto13
C03-LUL_SARSCoV2PROT,DSP-1001660004764-A02,1,Syto13,DSP-1001660004763-A02,1,Syto13
